Palabras de 3 caracteres
Casos encontrados: 27
Simbolo = CCCAC  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = BBCBA  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = BBCBB  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = BCCBC  cantidad de apariciones = 16.0   probabilidad = 0.008  Cantidad informacion = 4.394920562153781 unidades de orden 3
Simbolo = BBCBC  cantidad de apariciones = 20.0   probabilidad = 0.01  Cantidad informacion = 4.191806548578769 unidades de orden 3
Simbolo = BCCBB  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = BCCBA  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = BBCCB  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = BCCAC  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = BBCCC  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = BBCCA  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BCCAB  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = BCCAA  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = ACCBA  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = BBABC  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = ACCBB  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
